Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Population,latlng,region,subregion,ISO_A2,Life expectancy,GDP
Y2015,Food supply quantity (kg/capita/yr),Antigua and Barbuda,62.90000000000001,192.4,86.91,72.13000000000002,53.58,164.32,7.52,399.99000000000007,43.06999999999999,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2015,Protein supply quantity (g/capita/day),Antigua and Barbuda,2.33,24.06,19.58,26.15,13.64,22.7,2.06,28.78000000000001,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2016,Fat supply quantity (g/capita/day),Antigua and Barbuda,0.34,22.81,6.1999999999999975,22.89,2.75,21.54,1.36,40.93000000000001,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2016,Food supply (kcal/capita/day),Antigua and Barbuda,47.0,436.0,716.0,306.0,84.0,434.0,20.0,1706.0,269.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2016,Food supply quantity (kg/capita/yr),Antigua and Barbuda,54.85,185.07,82.34000000000002,64.18,53.05,160.1,5.68,415.02,46.290000000000006,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2016,Protein supply quantity (g/capita/day),Antigua and Barbuda,2.0,21.66,18.67,23.21,13.51,22.2,1.56,27.57000000000001,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2017,Fat supply quantity (g/capita/day),Antigua and Barbuda,0.43,25.26,6.1,25.51,2.72,23.74,1.38,39.53,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2017,Food supply (kcal/capita/day),Antigua and Barbuda,63.0,474.0,670.0,342.0,83.0,456.0,20.0,1698.0,284.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2017,Food supply quantity (kg/capita/yr),Antigua and Barbuda,69.01,197.32,76.24000000000002,72.03,52.54,161.24,5.76,431.03,49.07,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2017,Protein supply quantity (g/capita/day),Antigua and Barbuda,2.61,23.95000000000001,17.240000000000006,26.17,13.38,24.22,1.58,27.58000000000001,0.0,Antigua and Barbuda,19.1,,98000.0,"[17.05, -61.8]",Americas,Caribbean,AG,75.05625,9759.305728125
Y2014,Fat supply quantity (g/capita/day),Argentina,0.42,20.48,3.3400000000000003,43.14,0.31000000000000005,32.6,5.94,46.58000000000001,0.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
Y2014,Food supply (kcal/capita/day),Argentina,52.0,340.0,1088.0,585.0,10.0,496.0,90.0,2268.0,466.0,Argentina,28.5,4.6,45377000.0,"[-34, -64]",Americas,South America,AR,75.15625,6998.575103125
