Year,Element,Area,Vegetables,Fruits,Grains/Legumes/Nuts/Seeds,Meat/Poultry,Fish/Seafood,Dairy Food Group,Eggs,Vegetal Products,Sugar,Country,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population
Y2015,Food supply quantity (kg/capita/yr),Japan,92.00999999999999,71.85,142.98999999999995,46.14,47.32,115.9,38.02,405.41,25.78,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2015,Protein supply quantity (g/capita/day),Japan,3.49,13.049999999999999,21.970000000000002,15.81,17.409999999999997,13.92,11.96,38.620000000000005,0.08,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2016,Fat supply quantity (g/capita/day),Japan,0.6,12.13,4.3100000000000005,13.21,5.719999999999999,11.12,10.8,53.639999999999986,0.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2016,Food supply (kcal/capita/day),Japan,68.0,209.0,1079.0,188.0,124.0,218.0,154.0,2155.0,242.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2016,Food supply quantity (kg/capita/yr),Japan,90.58,72.57,143.01999999999998,47.23,45.08,116.06,38.7,402.36999999999995,25.61,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2016,Protein supply quantity (g/capita/day),Japan,3.41,13.399999999999999,21.95,16.15,16.56,13.96,12.18,38.5,0.08,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2017,Fat supply quantity (g/capita/day),Japan,0.61,12.51,4.39,13.74,5.72,11.26,10.96,53.509999999999984,0.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2017,Food supply (kcal/capita/day),Japan,69.0,214.0,1070.0,197.0,127.0,220.0,156.0,2148.0,242.0,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2017,Food supply quantity (kg/capita/yr),Japan,91.10000000000001,73.28,141.85,49.330000000000005,45.5,117.26,39.28,402.36,25.55,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2017,Protein supply quantity (g/capita/day),Japan,3.45,13.930000000000001,21.880000000000003,16.99,16.56,14.22,12.36,38.49,0.08,Japan,4.4,2.5,0.060052235903054,0.00114950741067105,0.05281065675931,0.00609207173307295,125967000.0
Y2014,Fat supply quantity (g/capita/day),Jordan,0.4,9.249999999999998,7.069999999999999,10.159999999999998,0.56,13.24,2.16,65.14999999999998,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2014,Food supply (kcal/capita/day),Jordan,59.0,187.0,1233.0,149.0,11.0,226.0,30.0,2400.0,399.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2014,Food supply quantity (kg/capita/yr),Jordan,95.41,69.47999999999999,142.28000000000003,36.349999999999994,5.609999999999999,80.34,6.86,378.63000000000017,38.07,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2014,Protein supply quantity (g/capita/day),Jordan,2.52,12.68,34.449999999999996,13.43,1.5,13.12,2.28,45.41999999999999,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2015,Fat supply quantity (g/capita/day),Jordan,0.51,9.18,7.729999999999999,10.159999999999998,0.53,13.82,2.12,69.52,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2015,Food supply (kcal/capita/day),Jordan,65.0,199.0,1186.0,149.0,12.0,232.0,30.0,2398.0,392.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2015,Food supply quantity (kg/capita/yr),Jordan,113.16,78.91,136.26000000000002,36.68,5.8100000000000005,82.68,6.8,400.63000000000005,37.39,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2015,Protein supply quantity (g/capita/day),Jordan,3.06,12.739999999999998,32.95,13.669999999999998,1.53,13.44,2.24,44.55,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2016,Fat supply quantity (g/capita/day),Jordan,0.56,9.129999999999999,8.18,10.459999999999999,0.6000000000000001,13.54,1.94,67.86,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2016,Food supply (kcal/capita/day),Jordan,76.0,196.0,1210.0,154.0,12.0,230.0,28.0,2385.0,363.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2016,Food supply quantity (kg/capita/yr),Jordan,128.89,76.81,139.88000000000002,37.45,6.019999999999999,83.12,6.62,422.4200000000001,37.3,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2016,Protein supply quantity (g/capita/day),Jordan,3.52,12.659999999999998,34.06000000000001,14.02,1.5999999999999999,13.32,2.04,46.140000000000015,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2017,Fat supply quantity (g/capita/day),Jordan,0.49,9.129999999999999,8.44,10.57,0.5800000000000001,13.28,1.9,68.63,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2017,Food supply (kcal/capita/day),Jordan,62.0,201.0,1218.0,157.0,12.0,228.0,26.0,2391.0,379.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2017,Food supply quantity (kg/capita/yr),Jordan,104.27000000000001,78.25,140.29,37.910000000000004,5.88,83.64,6.56,402.51000000000005,46.37,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2017,Protein supply quantity (g/capita/day),Jordan,2.88,12.739999999999998,34.040000000000006,14.299999999999999,1.56,13.22,2.0,45.18,0.0,Jordan,33.4,12.2,0.0310328682460905,0.000224740144208259,0.0206573649218092,0.010150763180073,10679000.0
Y2014,Fat supply quantity (g/capita/day),Kazakhstan,0.94,14.580000000000002,6.51,24.759999999999998,0.34,49.76,4.44,67.61999999999999,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2014,Food supply (kcal/capita/day),Kazakhstan,124.0,301.0,844.0,324.0,8.0,908.0,62.0,2225.0,287.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2014,Food supply quantity (kg/capita/yr),Kazakhstan,204.21999999999997,109.55,109.14,64.91999999999999,4.699999999999999,545.9,16.44,595.8700000000001,29.55,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2014,Protein supply quantity (g/capita/day),Kazakhstan,4.52,15.5,23.790000000000003,23.51,1.31,49.52,4.82,37.16,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2015,Fat supply quantity (g/capita/day),Kazakhstan,0.9299999999999999,14.13,6.41,24.509999999999998,0.34,49.22,4.64,70.27000000000001,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2015,Food supply (kcal/capita/day),Kazakhstan,122.0,294.0,956.0,320.0,8.0,892.0,66.0,2358.0,293.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2015,Food supply quantity (kg/capita/yr),Kazakhstan,200.74,105.82000000000002,124.5,64.06,4.63,540.14,17.28,605.7599999999999,30.210000000000004,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2015,Protein supply quantity (g/capita/day),Kazakhstan,4.43,15.160000000000002,27.1,23.290000000000003,1.3,48.84,5.06,40.24999999999999,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
Y2016,Fat supply quantity (g/capita/day),Kazakhstan,0.8900000000000001,13.81,6.08,24.29,0.34,48.7,4.62,66.33,0.0,Kazakhstan,21.3,2.5,0.570440956651719,0.008723040785821059,0.537193038650438,0.0245248772154602,18732000.0
